Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:17:06.664 -> 04:17:09,134,-31.977451,115.816330,250000,5,915000000,7,10,-63,-130,9.50,-31.977715,115.816494
12:17:08.155 -> 04:17:11,135,-31.977451,115.816330,250000,5,915000000,7,10,-63,-130,9.75,-31.977718,115.816491
12:17:09.688 -> 04:17:12,136,-31.977451,115.816330,250000,5,915000000,7,10,-62,-98,9.75,-31.977717,115.816481
12:17:11.229 -> 04:17:14,137,-31.977451,115.816330,250000,5,915000000,7,10,-63,-98,9.50,-31.977718,115.816491
12:17:12.776 -> 04:17:15,138,-31.977440,115.816330,250000,5,915000000,7,10,-62,-130,9.75,-31.977705,115.816485
12:17:14.297 -> 04:17:17,139,-31.977440,115.816330,250000,5,915000000,7,10,-63,-130,9.50,-31.977704,115.816480
12:17:15.851 -> 04:17:18,140,-31.977440,115.816330,250000,5,915000000,7,10,-62,-130,9.50,-31.977701,115.816477
12:17:17.375 -> 04:17:20,141,-31.977440,115.816330,250000,5,915000000,7,10,-62,-132,9.50,-31.977704,115.816488
12:17:18.885 -> 04:17:21,142,-31.977449,115.816322,250000,5,915000000,7,10,-62,-96,10.00,-31.977712,115.816480
12:17:20.434 -> 04:17:23,143,-31.977451,115.816322,250000,5,915000000,7,10,-62,-130,10.00,-31.977714,115.816488
12:17:21.947 -> 04:17:24,144,-31.977457,115.816322,250000,5,915000000,7,10,-64,-130,10.25,-31.977708,115.816494
12:17:23.475 -> 04:17:26,145,-31.977463,115.816315,250000,5,915000000,7,10,-63,-130,10.00,-31.977716,115.816478
12:17:24.996 -> 04:17:28,146,-31.977470,115.816315,250000,5,915000000,7,10,-68,-102,10.00,-31.977716,115.816492
12:17:26.534 -> 04:17:29,147,-31.977474,115.816315,250000,5,915000000,7,10,-64,-98,10.00,-31.977719,115.816486
12:17:28.072 -> 04:17:31,148,-31.977484,115.816307,250000,5,915000000,7,10,-63,-130,10.00,-31.977701,115.816489
12:17:29.618 -> 04:17:32,149,-31.977484,115.816307,250000,5,915000000,7,10,-63,-130,9.75,-31.977710,115.816491
